theta0,theta1
10810.6,-0.041671
10810.8,-0.041672
10810.9,-0.041673
10811,-0.041674
10811.1,-0.041675
10811.2,-0.041676
10811.3,-0.041677
10811.4,-0.041678
10811.5,-0.041679
10811.7,-0.0416799
10811.8,-0.0416809
10811.9,-0.0416819
10812,-0.0416828
10812.1,-0.0416838
10812.2,-0.0416847
10812.3,-0.0416857
10812.4,-0.0416866
10812.5,-0.0416875
10812.6,-0.0416885
10812.7,-0.0416894
10812.8,-0.0416903
10812.9,-0.0416912
10813,-0.0416921
10813.1,-0.041693
10813.3,-0.0416939
10813.4,-0.0416948
10813.5,-0.0416957
10813.6,-0.0416966
10813.7,-0.0416975
10813.8,-0.0416983
10813.9,-0.0416992
10814,-0.0417001
10814.1,-0.0417009
10814.2,-0.0417018
10814.2,-0.0417027
10814.3,-0.0417035
10814.4,-0.0417044
10814.5,-0.0417052
10814.6,-0.041706
10814.7,-0.0417069
10814.8,-0.0417077
10814.9,-0.0417085
10815,-0.0417093
10815.1,-0.0417101
10815.2,-0.041711
10815.3,-0.0417118
10815.4,-0.0417126
10815.5,-0.0417134
10815.6,-0.0417142
10815.7,-0.0417149
10815.7,-0.0417157
10815.8,-0.0417165
10815.9,-0.0417173
10816,-0.0417181
10816.1,-0.0417188
10816.2,-0.0417196
10816.3,-0.0417204
10816.4,-0.0417211
10816.4,-0.0417219
10816.5,-0.0417226
10816.6,-0.0417234
10816.7,-0.0417241
10816.8,-0.0417249
10816.9,-0.0417256
10817,-0.0417263
10817,-0.0417271
10817.1,-0.0417278
10817.2,-0.0417285
10817.3,-0.0417292
10817.4,-0.0417299
10817.4,-0.0417306
10817.5,-0.0417313
10817.6,-0.0417321
10817.7,-0.0417327
10817.8,-0.0417334
10817.8,-0.0417341
10817.9,-0.0417348
10818,-0.0417355
10818.1,-0.0417362
10818.2,-0.0417369
10818.2,-0.0417375
10818.3,-0.0417382
10818.4,-0.0417389
10818.5,-0.0417395
10818.5,-0.0417402
10818.6,-0.0417409
10818.7,-0.0417415
10818.8,-0.0417422
10818.8,-0.0417428
10818.9,-0.0417435
10819,-0.0417441
10819.1,-0.0417447
10819.1,-0.0417454
10819.2,-0.041746
10819.3,-0.0417466
10819.3,-0.0417472
10819.4,-0.0417479
10819.5,-0.0417485
10819.6,-0.0417491
10819.6,-0.0417497
10819.7,-0.0417503
10819.8,-0.0417509
10819.8,-0.0417515
10819.9,-0.0417521
10820,-0.0417527
10820,-0.0417533
10820.1,-0.0417539
10820.2,-0.0417545
10820.2,-0.0417551
10820.3,-0.0417557
10820.4,-0.0417562
10820.4,-0.0417568
10820.5,-0.0417574
10820.6,-0.0417579
10820.6,-0.0417585
10820.7,-0.0417591
10820.8,-0.0417596
10820.8,-0.0417602
10820.9,-0.0417608
10820.9,-0.0417613
10821,-0.0417619
10821.1,-0.0417624
10821.1,-0.0417629
10821.2,-0.0417635
10821.3,-0.041764
10821.3,-0.0417646
10821.4,-0.0417651
10821.4,-0.0417656
10821.5,-0.0417661
10821.6,-0.0417667
10821.6,-0.0417672
10821.7,-0.0417677
10821.7,-0.0417682
10821.8,-0.0417687
10821.9,-0.0417692
10821.9,-0.0417698
10822,-0.0417703
10822,-0.0417708
10822.1,-0.0417713
10822.1,-0.0417718
10822.2,-0.0417723
10822.3,-0.0417728
